variant,doors,policy,iterations,exact_p,mae,rmse,q10,q50,q90
banana,6,Random Switch,1000,0.16666666666666666,0.009659166666666665,0.01183935292901507,0.151,0.167,0.181
banana,6,Random Switch,3000,0.16666666666666666,0.005406666666666668,0.00681941672318421,0.15866666666666668,0.167,0.176
banana,6,Random Switch,10000,0.16666666666666666,0.0029878333333333337,0.0037331011832582904,0.162,0.1664,0.17151000000000002
banana,6,Random Switch,30000,0.16666666666666666,0.0017238333333333333,0.0022015550060001787,0.16423333333333334,0.16663333333333333,0.16957666666666668
banana,6,Random Switch,100000,0.16666666666666666,0.0009536083333333333,0.0011864648587763184,0.165096,0.16664,0.168241
banana,9,Stick,10,0.1111111111111111,0.07977777777777777,0.10499265112436898,0.0,0.1,0.3
banana,9,Stick,30,0.1111111111111111,0.045138888888888895,0.055912740658111505,0.03333333333333333,0.1,0.2
banana,9,Stick,100,0.1111111111111111,0.027183333333333334,0.03328348124005045,0.07,0.11,0.15
banana,9,Stick,300,0.1111111111111111,0.01419722222222222,0.017696079638380397,0.08666666666666667,0.11,0.13333333333333333
banana,9,Stick,1000,0.1111111111111111,0.007572222222222225,0.009606051976119079,0.099,0.112,0.124
banana,9,Stick,3000,0.1111111111111111,0.004564722222222223,0.005796201927997631,0.10366666666666667,0.11133333333333334,0.11903333333333334
banana,9,Stick,10000,0.1111111111111111,0.00248925,0.0031229177260146948,0.1072,0.11145,0.1155
banana,9,Stick,30000,0.1111111111111111,0.0014112222222222232,0.0017887713902060697,0.10896333333333334,0.11133333333333334,0.11353333333333333
banana,9,Stick,100000,0.1111111111111111,0.000806033333333333,0.001002781803623805,0.109688,0.11101,0.11222
banana,9,Random Switch,10,0.1111111111111111,0.08036111111111112,0.10246197728974128,0.0,0.1,0.2100000000000023
banana,9,Random Switch,30,0.1111111111111111,0.04697222222222222,0.057801811240791146,0.03333333333333333,0.1,0.2
banana,9,Random Switch,100,0.1111111111111111,0.024852777777777772,0.030340404141289717,0.07,0.11,0.15
banana,9,Random Switch,300,0.1111111111111111,0.01568888888888889,0.019807717662879427,0.08333333333333333,0.11,0.13666666666666666
banana,9,Random Switch,1000,0.1111111111111111,0.007717777777777779,0.010116000039053157,0.099,0.111,0.124
banana,9,Random Switch,3000,0.1111111111111111,0.004788055555555555,0.006026164658705167,0.10333333333333333,0.111,0.11866666666666667
banana,9,Random Switch,10000,0.1111111111111111,0.002479027777777777,0.003134485357565117,0.10678,0.1109,0.11481
banana,9,Random Switch,30000,0.1111111111111111,0.0013467222222222216,0.001688963996867917,0.10903333333333333,0.11101666666666667,0.11343333333333333
banana,9,Random Switch,100000,0.1111111111111111,0.0007858638888888889,0.0009845561527415461,0.10990699999999999,0.11114,0.112402
banana,20,Stick,10,0.05,0.05700000000000001,0.0651920240520265,0.0,0.0,0.1
banana,20,Stick,30,0.05,0.033,0.040138648595974324,0.0,0.03333333333333333,0.1
banana,20,Stick,100,0.05,0.016175000000000002,0.020573040611440985,0.03,0.05,0.08
banana,20,Stick,300,0.05,0.010283333333333334,0.01267324390640025,0.03333333333333333,0.05,0.06666666666666667
banana,20,Stick,1000,0.05,0.005775,0.007229799443968,0.04,0.05,0.059
banana,20,Stick,3000,0.05,0.003255,0.004228474902373195,0.045,0.05,0.056
banana,20,Stick,10000,0.05,0.0016115,0.0020640130813538954,0.04729,0.0499,0.05231
banana,20,Stick,30000,0.05,0.0010721666666666668,0.0013315342028402174,0.04836666666666667,0.049966666666666666,0.05183666666666667
banana,20,Stick,100000,0.05,0.0005496750000000003,0.0006780352129498882,0.049207,0.04997,0.05085
banana,20,Random Switch,10,0.05,0.05850000000000002,0.0681909084849293,0.0,0.0,0.1
